,BR_665_620,BR_708_620,BR_708_660,BR_708_681,BR_708_673,LH_553,LH_620,LH_665,SS_665_CI,LH_673,SS_681_CI,LH_708,LH_708_,mm12,mi14,Chla
72,0.750147409,0.60519578,0.80676914,0.939010328,0.876655026,0.033877355,-0.007452005,0.000398713,0.000378502,-0.000213055,-0.001578525,0.004300019,0.004317514,-0.106948284,-0.20157336,52.96
73,0.809456384,0.770849591,0.952305283,1.132229346,1.070054223,0.031403615,-0.005768739,0.001460848,0.001399978,-0.000771681,-0.003561735,0.00832331,0.00794487,-0.024429948,-0.181455692,39.76
74,0.735848117,0.532088259,0.723095224,0.82921285,0.780468809,0.032143371,-0.005253256,0.00019785,5.99E-06,-0.000228961,-0.000599513,0.002540965,0.002822715,-0.160701958,-0.191006965,16.63
75,0.779029758,0.51051078,0.655316148,0.737436192,0.684959032,0.036067387,-0.003957171,-0.00025552,0.000326247,0.000522069,0.000711198,0.001440116,0.00245571,-0.208228412,-0.144805368,8.25
76,0.735303424,0.646082484,0.878661058,1.036967902,0.967956712,0.039504161,-0.005968355,0.000711539,0.000539772,-0.00047219,-0.003188856,0.007785073,0.007547201,-0.06458799,-0.232578574,12.17
77,0.7086537,0.430379937,0.607320525,0.689953906,0.634632589,0.027474499,-0.006375171,-0.000490333,-0.000374408,0.000323738,0.000506281,-6.41E-05,0.000328794,-0.244306888,-0.176940588,5.07
78,0.763188354,0.4466703,0.585268759,0.645714518,0.599467931,0.028883969,-0.004887386,-0.000760091,-0.000350705,0.000657518,0.001726567,-0.001190105,-0.000144636,-0.261615729,-0.138598458,2.84
79,0.839828249,0.555401717,0.661327739,0.732574782,0.674113781,0.032688135,-0.001978311,-0.000687295,0.001177014,0.001607235,0.001558535,0.001638797,0.003404664,-0.203856382,-0.105926022,3.41
81,0.849034443,0.577363001,0.680023062,0.75654826,0.697364424,0.034118126,-0.000625837,-0.000350476,0.001712788,0.001573672,0.001096366,0.00312999,0.004971345,-0.190459849,-0.10266006,3.91
82,0.774745085,0.459738882,0.593406646,0.656302407,0.603798345,0.03170045,-0.004086433,-0.001088911,-0.000206994,0.0011422,0.002062873,-0.001078968,0.000274063,-0.255172372,-0.133667764,2.71
83,0.779509755,0.49713342,0.637751377,0.718658789,0.661245653,0.032604733,-0.003387783,-0.000417312,0.000295108,0.000691519,0.000739779,0.000702854,0.001518312,-0.221186578,-0.140617957,7.46
84,0.771578158,0.471587732,0.611198914,0.680080664,0.630852966,0.033736706,-0.003690871,-0.000659942,-0.000106152,0.000705317,0.001570256,-0.000474206,0.000660903,-0.241311661,-0.139611182,3.51
85,0.889233826,0.662293132,0.744790754,0.811378623,0.761798292,0.028361344,-0.000521747,7.32E-06,0.001327862,0.000891378,0.00061435,0.004621051,0.006521692,-0.146269256,-0.082497622,7.69
86,0.884585804,0.649164524,0.733862696,0.794153011,0.745337342,0.032843907,0.000663497,-0.000475694,0.001564631,0.001620734,0.001659984,0.005781555,0.008885423,-0.153493875,-0.084698173,4.86
87,0.904926969,0.70685888,0.781122571,0.846282038,0.791513616,0.031916515,-0.000771829,-0.000322444,0.002001123,0.001736084,0.000304372,0.008504518,0.011329524,-0.122887348,-0.07426369,8.09
